<Category ID>,<Category Type>,<Parent Category ID>,<Language1>,<Name1>,<Description1>
CA_322,5,CA_321,EN,T1 GZ職員無覆/遲覆 ,T1 GZ職員無覆/遲覆 
CA_323,5,CA_321,EN,T2 GZ職員-其他 ,T2 GZ職員-其他 
CA_324,5,CA_321,EN,T3 HK職員無覆/遲覆,T3 HK職員無覆/遲覆
CA_325,5,CA_321,EN,T4 HK職員-其他,T4 HK職員-其他
CA_326,5,CA_321,EN,T5 熱線繁忙 ,T5 熱線繁忙 
CA_327,2,CA_2,EN,轉換積分 Point Conversion,轉換積分 Point Conversion
CA_328,5,CA_327,EN,H1 亞洲萬里通 Asia Miles - 沒有積分記錄 ,H1 亞洲萬里通 Asia Miles - 沒有積分記錄 
CA_329,5,CA_327,EN,H2 亞洲萬里通 Asia Miles - 錯誤積分記錄,H2 亞洲萬里通 Asia Miles - 錯誤積分記錄
CA_330,5,CA_327,EN,H3 花旗银行 Citi - 沒有積分記錄 ,H3 花旗银行 Citi - 沒有積分記錄 
CA_331,5,CA_327,EN,H4 花旗银行 Citi - 錯誤積分記錄 ,H4 花旗银行 Citi - 錯誤積分記錄 
CA_332,5,CA_327,EN,H5 埃索Esso - 沒有積分記錄,H5 埃索Esso - 沒有積分記錄
CA_333,5,CA_327,EN,H6 埃索Esso - 錯誤積分記錄 ,H6 埃索Esso - 錯誤積分記錄 
CA_334,5,CA_327,EN,H7 匯豐银行 HSBC - 沒有積分記錄 ,H7 匯豐银行 HSBC - 沒有積分記錄 
CA_335,5,CA_327,EN,H8 匯豐银行HSBC - 錯誤積分記錄,H8 匯豐银行HSBC - 錯誤積分記錄
CA_336,2,CA_2,EN,關於帳戶 Account Related,關於帳戶 Account Related
CA_337,5,CA_336,EN,M1 合併卡 Combine Card,M1 合併卡 Combine Card
CA_338,5,CA_336,EN,M2 報失卡 - 堅持要實體卡,M2 報失卡 - 堅持要實體卡
CA_339,5,CA_336,EN,M3 報失卡 - 寄回無此人 ,M3 報失卡 - 寄回無此人 
CA_340,5,CA_336,EN,M4 報失卡 - 接受下載手機程式 ,M4 報失卡 - 接受下載手機程式 
CA_341,5,CA_336,EN,M5 追補回失卡進度,M5 追補回失卡進度
CA_342,5,CA_336,EN,M6 解除合併 Delink - Alipay,M6 解除合併 Delink - Alipay
CA_343,5,CA_336,EN,M7 解除合併 Delink - Asia Miles,M7 解除合併 Delink - Asia Miles
CA_344,5,CA_336,EN,U 拒絕接收宣傳訊息 Unsubscribe,U 拒絕接收宣傳訊息 Unsubscribe
CA_345,5,CA_336,EN,L 讚揚 Compliment,L 讚揚 Compliment
CA_346,2,CA_3,EN,一般 General,一般 General
CA_347,5,CA_346,EN,A1 查詢遇到意外事宜,A1 查詢遇到意外事宜
CA_348,5,CA_346,EN,A2 要求賠償意外損失 ,A2 要求賠償意外損失 
CA_349,5,CA_346,EN,A3 追意外事件跟進情況 ,A3 追意外事件跟進情況 
CA_350,5,CA_346,EN,A4 追意外保險賠償進度 ,A4 追意外保險賠償進度 
CA_351,5,CA_346,EN,A5 意見,A5 意見
CA_352,5,CA_346,EN,A6 搵香港同事 ,A6 搵香港同事 
CA_353,5,CA_346,EN,A7 追進度,A7 追進度
CA_354,5,CA_346,EN,A8 遺留物品,A8 遺留物品
CA_355,5,CA_346,EN,A9 錯誤向百佳投訴 - WTC/FTR/others,A9 錯誤向百佳投訴 - WTC/FTR/others
CA_356,2,CA_3,EN,一般查詢 Enquiry,一般查詢 Enquiry
CA_357,5,CA_356,EN,B1 付款查詢 ,B1 付款查詢 
CA_358,5,CA_356,EN,B2 自助收銀機 ,B2 自助收銀機 
CA_359,5,CA_356,EN,B3 其他 ,B3 其他 
CA_360,5,CA_356,EN,B4 易賞錢積分查詢 ,B4 易賞錢積分查詢 
CA_361,5,CA_356,EN,B5 查詢門巿地址 / 電話,B5 查詢門巿地址 / 電話
CA_362,5,CA_356,EN,B6 查詢貨品 ,B6 查詢貨品 
CA_363,5,CA_356,EN,B7 送貨查詢 ,B7 送貨查詢 
CA_364,5,CA_356,EN,B8 推廣優惠查詢 ,B8 推廣優惠查詢 
CA_365,5,CA_356,EN,B9 貨品價格查詢 ,B9 貨品價格查詢 
CA_366,5,CA_356,EN,B10 銀行推廣優惠,B10 銀行推廣優惠
CA_367,5,CA_356,EN,B11 購物記錄 ,B11 購物記錄 
CA_368,5,CA_356,EN,B12 贈品查詢 ,B12 贈品查詢 
CA_369,2,CA_3,EN,大量訂購 Bulk Purchase,大量訂購 Bulk Purchase
CA_370,5,CA_369,EN,C1 追進度 ,C1 追進度 
CA_371,5,CA_369,EN,C2 貨品 ,C2 貨品 
CA_372,5,CA_369,EN,C3 禮券 ,C3 禮券 
CA_373,2,CA_3,EN,印花問題 eStamp Issues,印花問題 eStamp Issues
CA_374,5,CA_373,EN,D 漏/錯印花 ,D 漏/錯印花 
CA_375,2,CA_3,EN,合作夥伴機會 Partner Opportunity,合作夥伴機會 Partner Opportunity
CA_376,5,CA_375,EN,O 合作夥伴機會 ,O 合作夥伴機會 
CA_377,2,CA_3,EN,系統問題 Systems,系統問題 Systems
CA_378,5,CA_377,EN,S1 Kiosk 機問題 ,S1 Kiosk 機問題 
CA_379,5,CA_377,EN,S2 收錢機問題 ,S2 收錢機問題 
CA_380,5,CA_377,EN,S3 自助收銀機操作問題 ,S3 自助收銀機操作問題 
CA_381,5,CA_377,EN,S4 未能列印單據,S4 未能列印單據
CA_382,5,CA_377,EN,S5 未能列印Till coupon,S5 未能列印Till coupon
CA_383,2,CA_3,EN,店舖環境 Environment,店舖環境 Environment
CA_384,5,CA_383,EN,E1 上貨時出現噪音 ,E1 上貨時出現噪音 
CA_385,5,CA_383,EN,E2 上貨停泊問題 ,E2 上貨停泊問題 
CA_386,5,CA_383,EN,E3 店舖環境 ,E3 店舖環境 
CA_387,5,CA_383,EN,E4 店舖設施 ,E4 店舖設施 
CA_388,2,CA_3,EN,退款 / 換貨 Refund / Exchange,退款 / 換貨 Refund / Exchange
CA_389,5,CA_388,EN,R1 查詢退款情況,R1 查詢退款情況
CA_390,5,CA_388,EN,R2 送貨問題 ,R2 送貨問題 
CA_391,5,CA_388,EN,R3 欺詐個案 ,R3 欺詐個案 
CA_392,5,CA_388,EN,R4 其他,R4 其他
CA_393,2,CA_3,EN,推廣優惠 Promotion,推廣優惠 Promotion
CA_394,5,CA_393,EN,P1 SoSim問題,P1 SoSim問題
CA_395,5,CA_393,EN,P2 未能享用 ,P2 未能享用 
CA_396,5,CA_393,EN,P3 沒有飛尾 (Till coupon),P3 沒有飛尾 (Till coupon)
CA_397,5,CA_393,EN,P4 沒有該推廣優惠 ,P4 沒有該推廣優惠 
CA_398,5,CA_393,EN,P5 貨品缺貨 ,P5 貨品缺貨 
CA_399,5,CA_393,EN,P6 過期,P6 過期
CA_400,5,CA_393,EN,P7 誤導性描述,P7 誤導性描述
CA_401,5,CA_393,EN,P8 銀行推廣優惠 - 未能使用,P8 銀行推廣優惠 - 未能使用
CA_402,5,CA_393,EN,P9 錯圖 ,P9 錯圖 
CA_403,5,CA_393,EN,P10 錯價錢 ,P10 錯價錢 
CA_404,5,CA_393,EN,P11 贈品缺貨 ,P11 贈品缺貨 
CA_405,5,CA_393,EN,P12 關於抽獎 ,P12 關於抽獎 
CA_406,2,CA_3,EN,貨品問題 Products,貨品問題 Products
CA_407,5,CA_406,EN,G1 品質 - 新鮮貨品 ,G1 品質 - 新鮮貨品 
CA_408,5,CA_406,EN,G2 品質 - 新鮮貨品 (自家品牌),G2 品質 - 新鮮貨品 (自家品牌)
CA_409,5,CA_406,EN,G3 品質 - 冰貨/凍貨,G3 品質 - 冰貨/凍貨
CA_410,5,CA_406,EN,G4 品質 - 冰貨/凍貨 (自家品牌),G4 品質 - 冰貨/凍貨 (自家品牌)
CA_411,5,CA_406,EN,G5 品質 - 乾貨/液體貨,G5 品質 - 乾貨/液體貨
CA_412,5,CA_406,EN,G6 品質 - 乾貨/液體貨 (自家品牌),G6 品質 - 乾貨/液體貨 (自家品牌)
CA_413,5,CA_406,EN,G7 品質 - 味道有變/臭,G7 品質 - 味道有變/臭
CA_414,5,CA_406,EN,G8 品質 - 味道有變/臭 (自家品牌),G8 品質 - 味道有變/臭 (自家品牌)
CA_415,5,CA_406,EN,G8 品質 - 短期貨 ,G8 品質 - 短期貨 
CA_416,5,CA_406,EN,G9 品質 - 短期貨 (自家品牌),G9 品質 - 短期貨 (自家品牌)
CA_417,5,CA_406,EN,G10 品質 - 贈品損毀/壞 ,G10 品質 - 贈品損毀/壞 
CA_418,5,CA_406,EN,G11 品質 - 其他,G11 品質 - 其他
CA_419,2,CA_3,EN,電子優惠券問題 eCoupon issues,電子優惠券問題 eCoupon issues
CA_420,5,CA_419,EN,Q1 未能使用,Q1 未能使用
CA_421,5,CA_419,EN,Q2 沒有記錄,Q2 沒有記錄
CA_422,5,CA_419,EN,Q3 過期 ,Q3 過期 
CA_423,5,CA_419,EN,Q4 錯數量 ,Q4 錯數量 
CA_424,2,CA_3,EN,電子禮券問題 eVoucher issues,電子禮券問題 eVoucher issues
CA_425,5,CA_424,EN,X1 未能使用,X1 未能使用
CA_426,5,CA_424,EN,X2 沒有記錄,X2 沒有記錄
CA_427,5,CA_424,EN,X3 過期 ,X3 過期 
CA_428,5,CA_424,EN,X4 錯數量 ,X4 錯數量 
CA_429,2,CA_3,EN,實體優惠券問題 Coupon issues,實體優惠券問題 Coupon issues
CA_430,5,CA_429,EN,N1 食物券 - 損毀 ,N1 食物券 - 損毀 
CA_431,5,CA_429,EN,N2 食物券 - 過期,N2 食物券 - 過期
CA_432,5,CA_429,EN,N3 食物券 - 不能使用 ,N3 食物券 - 不能使用 
CA_433,5,CA_429,EN,N4 實體優惠券 - 不能使用 ,N4 實體優惠券 - 不能使用 
CA_434,5,CA_429,EN,N5 實體優惠券 - 損毀 ,N5 實體優惠券 - 損毀 
CA_435,5,CA_429,EN,N6 實體優惠券 - 過期 ,N6 實體優惠券 - 過期 
CA_436,2,CA_3,EN,積分問題 Point issues,積分問題 Point issues
CA_437,5,CA_436,EN,K1 未能使用積分,K1 未能使用積分
CA_438,5,CA_436,EN,K2 漏/錯積分 ,K2 漏/錯積分 
CA_439,2,CA_3,EN,職員服務態度 Staff performance / attitude,職員服務態度 Staff performance / attitude
CA_440,5,CA_439,EN,T1 付款問題 (如收錯錢) ,T1 付款問題 (如收錯錢) 
CA_441,5,CA_439,EN,T2 收錢機操作問題/重複收費,T2 收錢機操作問題/重複收費
CA_442,5,CA_439,EN,T3 貨品/推廣優惠認識 ,T3 貨品/推廣優惠認識 
CA_443,5,CA_439,EN,T4 誠信問題 ,T4 誠信問題 
CA_444,5,CA_439,EN,T5 熱線繁忙,T5 熱線繁忙
CA_445,5,CA_439,EN,T6 濫收賿袋費用$0.5,T6 濫收賿袋費用$0.5
CA_446,5,CA_439,EN,T7 職員服務態度,T7 職員服務態度
CA_447,5,CA_439,EN,T8 GZ職員無覆/遲覆 ,T8 GZ職員無覆/遲覆 
CA_448,5,CA_439,EN,T9 GZ職員-其他 ,T9 GZ職員-其他 
CA_449,5,CA_439,EN,T10 HK職員無覆/遲覆,T10 HK職員無覆/遲覆
CA_450,5,CA_439,EN,T11 HK職員-其他,T11 HK職員-其他
CA_451,2,CA_3,EN,關於訂單 Fulfillment,關於訂單 Fulfillment
CA_452,5,CA_451,EN,J1 司機態度問題 ,J1 司機態度問題 
CA_453,5,CA_451,EN,J2 司機送多貨,J2 司機送多貨
CA_454,5,CA_451,EN,J3 司機送漏貨品,J3 司機送漏貨品
CA_455,5,CA_451,EN,J4 司機送貨前無電話通知 ,J4 司機送貨前無電話通知 
CA_456,5,CA_451,EN,J5 司機送錯貨品 ,J5 司機送錯貨品 
CA_457,5,CA_451,EN,J6 司機 no show,J6 司機 no show
CA_458,5,CA_451,EN,J7 運輸過程中損壞,J7 運輸過程中損壞
CA_459,5,CA_451,EN,J8 司機過早/過時送貨,J8 司機過早/過時送貨
CA_461,2,CA_3,EN,讚揚 Compliment,讚揚 Compliment
CA_462,5,CA_461,EN,L 讚揚 Compliment,L 讚揚 Compliment
CA_493,2,CA_3,EN,實體禮券問題 Voucher issues,實體禮券問題 Voucher issues
CA_494,5,CA_493,EN,H1 實體禮券 - 不能使用,H1 實體禮券 - 不能使用
CA_495,5,CA_493,EN,H2 實體禮券 - 損毀 ,H2 實體禮券 - 損毀 
CA_496,5,CA_493,EN,H3 實體禮券 - 過期 ,H3 實體禮券 - 過期 
CA_497,2,CA_1,EN,關於帳戶 Account Related,關於帳戶 Account Related
CA_498,2,CA_3,EN,關於帳戶 Account Related,關於帳戶 Account Related
RC_1,6,,EN,Compensation,Compensation
RC_2,6,,EN,Proposed settlement,Proposed settlement
RC_3,6,,EN,Refund,Refund
RC_4,6,,EN,Replacement,Replacement
RC_5,6,,EN,Verbal,Verbal
RC_6,6,,EN,Written,Written
RC_7,6,,EN,Replacement / Change Model,Replacement / Change Model
RC_8,6,,EN,Proposed settlement (Verbal),Proposed settlement (Verbal)
RC_9,6,,EN,Proposed settlement (Written),Proposed settlement (Written)
RC_10,6,,EN,Esculated to 3rd Party,Esculated to 3rd Party
RC_11,6,,EN,Refund-by eVoucher,Refund-by eVoucher
RC_12,6,,EN,Refund-by eCoupon ,Refund-by eCoupon 
RC_13,6,,EN,Refund by MB Point,Refund by MB Point
RC_14,6,,EN,Refund to original account,Refund to original account
RC_15,6,,EN,Refund by Cash ,Refund by Cash 
RC_16,6,,EN,Refund by Gift Voucher ,Refund by Gift Voucher 
RC_17,6,,EN,Exchange for same value products,Exchange for same value products
RC_18,6,,EN,Adjust eStamp ,Adjust eStamp 
RC_19,6,,EN,Adjust MB point,Adjust MB point
RC_20,6,,EN,Unreach,Unreach
CA_500,5,CA_498,EN,U 拒絕接收宣傳訊息 Unsubscribe,U 拒絕接收宣傳訊息 Unsubscribe
CA_501,5,CA_239,EN,S14 其他,S14 其他
CA_502,5,CA_253,EN,J9 合作夥伴推廣優惠 - 過期,J9 合作夥伴推廣優惠 - 過期
CA_503,5,CA_311,EN,K10 其他,K10 其他
CA_504,5,CA_327,EN,H9 其他,H9 其他
CA_505,5,CA_33,EN,E19 Website - 未能建立訂單(無過數),E19 Website - 未能建立訂單(無過數)
CA_506,5,CA_33,EN,E20 Website - 未能付款,E20 Website - 未能付款
CA_507,5,CA_169,EN,D23 商戶直送問題,D23 商戶直送問題
CA_508,5,CA_497,EN,D23 商戶直送問題,D23 商戶直送問題
CA_509,5,CA_451,EN,J9 運輸問題 - 其他,J9 運輸問題 - 其他
CA_510,5,CA_383,EN,E5 其他,E5 其他
CA_511,5,CA_393,EN,P13 其他,P13 其他
CA_512,5,CA_419,EN,Q5 其他,Q5 其他
CA_513,5,CA_424,EN,X5 其他,X5 其他
CA_514,5,CA_136,EN,Q4 其他,Q4 其他
CA_515,5,CA_429,EN,N7 其他,N7 其他
CA_516,5,CA_493,EN,H4 其他,H4 其他
CA_517,5,CA_141,EN,X7 其他,X7 其他
